y_category,rank,char_ngram,coefficient
R,2,uria,1.4754879228480435
R,3, r4,1.1989625243643023
R,4,ebr,1.1742311914624577
R,5, febr,1.1446744329835723
R,6,febr,1.1446744329835723
R,7,feb,1.1446744329835723
R,8, feb,1.1446744329835723
R,9,uri,1.0652296279359807
R,10,inco,1.0331117783366142
R,11,ria ,1.0127912949231375
R,12,vom,1.0071633696304902
R,13, vom,1.0071633696304902
R,14,lor ,1.0025902031199125
R,15,febri,0.9987917331052394
R,16,ebri,0.9987917331052394
R,17,tig,0.9966150031948842
R,18,inc,0.9147427408810781
R,19,sinco,0.9042594930677295
R,20,incop,0.9042594930677295
S,1, fr,1.5413527587518265
S,2,fract,1.480109574012949
S,3,actur,1.4734844059481793
S,4,ractu,1.4734844059481793
S,5,actu,1.4734844059481793
S,6,ctura,1.4687524269381873
S,7,ctur,1.4636196406176096
S,8, frac,1.4415944757588082
S,9,frac,1.436957091737285
S,10, fra,1.4316682418488225
S,11,ctu,1.4231141682351403
S,12,fra,1.4008557302476599
S,13,ract,1.3801740848399446
S,14,tura ,1.3255033200373647
S,15,tura,1.2425017079078353
S,16,rac,1.1693698376076516
S,17,ura ,1.154769059370855
S,18,tur,1.1512803492768324
S,19,act,1.1298162241762633
S,20,ura,1.0732858531311869
T,1,uema,1.2071725447355361
T,2, quem,1.2071725447355361
T,3,emad,1.2071725447355361
T,4,emadu,1.2071725447355361
T,5,uemad,1.2071725447355361
T,6,quema,1.2071725447355361
T,7, qu,1.1733654382634355
T,8,madur,1.1263676959082305
T,9,madu,1.1263676959082305
T,10, que,1.1195534055612975
T,11,uem,1.0565070933193665
T,12,quem,1.0565070933193665
T,13,adura,1.0345973915120223
T,14,adur,1.0259433282226786
T,15,adu,1.0012703986013733
T,16,dura ,0.985609163323123
T,17,dura,0.9653856671750612
T,18,dur,0.9585273048125552
T,19,mad,0.8278503171285423
T,20,que,0.8241215685541978
U,1, cov,1.9936411371982732
U,2,cov,1.9936411371982732
U,3,vid ,1.8920965353521109
U,4,ovid ,1.8920965353521109
U,5,covi,1.873336702187076
U,6, covi,1.873336702187076
U,7,covid,1.873336702187076
U,8,ovid,1.873336702187076
U,9,id ,1.7965970788591783
U,10,ovi,1.760600870648591
U,11,vid,1.7560645520537388
U,12, co,1.2287215842524175
U,13, 19 ,0.4302103146734395
U,14, part,0.42928230397854367
U,15, 19,0.4161998196881125
U,16,part,0.40822651819255823
U,17, par,0.40526461559803184
U,18,19 ,0.39906264579528417
U,19, pa,0.391717820357611
U,20,art,0.38249770661695887
V,1, h ,2.2865389888855185
V,2, rn,2.223462443204912
V,3, re ,2.2079968552778104
V,4, rn ,2.0042379237669996
V,5,rn ,1.968746630810104
V,6, re,1.8307743940242451
V,7,re ,1.7964766580771474
V,8,ba ,1.5804875980722024
V,9, bc,1.5785190714796504
V,10, al,1.5608424370019907
V,11,lerg,1.4850293595778508
V,12,lergi,1.4850293595778508
V,13, bc ,1.4803126558218396
V,14,ergi,1.4472271137283192
V,15,rgia,1.4440326629412075
V,16,ergia,1.4440326629412075
V,17,tomi,1.441185435744862
V,18,bc ,1.4106220935072338
V,19,imc ,1.4029176326504649
V,20, imc ,1.4029176326504649
W,1,aida ,1.11563369539729
W,2,caida,1.0811683056667454
W,3, caid,1.0811683056667454
W,4,caid,1.0811683056667454
W,5,aid,1.0811683056667454
W,6,aida,1.0811683056667454
W,7, cai,1.0669789709971473
W,8,cai,1.0036838151930303
W,9,ida ,0.7562331272937438
W,10,ida,0.6287799915183836
W,11, ca,0.5424605203365668
W,12,da ,0.5153677801658689
W,13, tor,0.348364142869222
W,14, to,0.31368836696769914
W,15, tors,0.2848266077817507
W,16,torsi,0.27962196880616047
W,17,tors,0.27962196880616047
W,18,orsio,0.27962196880616047
W,19,orsi,0.27962196880616047
W,20,rsion,0.27745736817416855
X,1, acc,1.1213990522938544
X,2,acc,0.979044043124152
X,3,accid,0.9423779816820165
X,4, acci,0.9423779816820165
X,5,ccide,0.9423779816820165
X,6,ccid,0.9423779816820165
X,7,ident,0.9127430515534073
X,8,ciden,0.8887835912268107
X,9,cide,0.88177333490921
X,10, ac,0.8650754012176449
X,11,dent,0.8464553354638894
X,12,iden,0.8415467876847406
X,13,acci,0.8160734814138214
X,14,cid,0.7441136306146771
X,15,ent ,0.6739092663968661
X,16,dent ,0.6690565747052317
X,17,nt ,0.6495706942487579
X,18,cci,0.6362311089561594
X,19,ent,0.6217824429411019
X,20,ide,0.5873527054367681
Y,1, via ,0.8644378106827588
Y,2, fut,0.8366829936145036
Y,3,futb,0.8366829936145036
Y,4,futbo,0.8366829936145036
Y,5,fut,0.8366829936145036
Y,6,tbol,0.8366829936145036
Y,7,tbol ,0.8366829936145036
Y,8,tbo,0.8366829936145036
Y,9,utbo,0.8366829936145036
Y,10,utb,0.8366829936145036
Y,11,utbol,0.8366829936145036
Y,12, futb,0.8366829936145036
Y,13,bol ,0.8366829936145036
Y,14, via,0.8055945803323905
Y,15,via ,0.8045991788156526
Y,16,via,0.7420819971369207
Y,17,blic,0.696542527750412
Y,18,publi,0.696542527750412
Y,19,ublic,0.696542527750412
Y,20,publ,0.696542527750412
Z,1, o ,3.178240799820035
Z,2, a ,2.7455887457040227
Z,3, v1,2.6086917886354613
Z,4, b ,2.543679254737982
Z,5, gs,2.4733811512885926
Z,6, sem,2.432784460931531
Z,7,sem,2.153588143623237
